Comp_CompanyId,Comp_Name,Comp_Website,bronze_extracted_at,bronze_source_file,website_valid,company_category
2,Cea Grenoble,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
3,Malvern Panalytical,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
1057,Insightness,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
1064,Elichens,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
1071,Sercel,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
1072,Baumer Electric Ag,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
1074,Thales Alenia Space Toulouse,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
1075,Redtree Solutions,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
1076,Aledia,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
1081,Framatome,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
1089,Sp3H,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
1095,Cissoid  S.A.,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
1100,Carmat,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
1115,Isorg,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
1119,Vitec Video Innovation,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
1128,@-Health,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
1132,Intopix S.A.,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
1139,Vsora,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
1146,Adept Neuro Sa,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Enterprise
1148,Safran Sensing Norway,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Enterprise
1150,3D-Plus,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
1154,Nipson Technology,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
1156,Debiotech,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
1157,Slb,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
2147,Scubapro Uwatec,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
2153,Seal Sq France,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
2159,Zhortech,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
2160,Cnes,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
2191,Schneider Electric Eybens,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
3175,Anotherbrain,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
3176,Cairdac,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
3179,Moduleus,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
3180,Nanoxplore,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
3186,Sentinhealth,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
3187,Vermon,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
4196,Neurallys,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
4201,Panaxium,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
4202,Fine Heart,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
4214,Valeo Pouillon,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
4230,Sensimed,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
4233,Sicpa,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
4235,Silicon Mobility,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
4242,Diabeloop,,2025-09-18 11:03:09.159339,Legacy_companies.csv,,Unknown
